Throughput,Latency
2536,3.14
2648,3.02
2420,3.3
2533,3.13
2503,3.2
2569,3.11
2411,3.29
2476,3.24
2304,3.47
2484,3.21
2484,3.21
2419,3.3
2382,3.36
2545,3.14
2414,3.31
2419,3.29
2503,3.19
2526,3.17
2615,3.05
2539,3.15
2524,3.16
2609,3.03
2414,3.35
2569,3.1
2481,3.22
2453,3.23
2386,3.36
2486,3.21
2584,3.09
2364,3.38
2557,3.11
2741,2.92
2554,3.12
2550,3.13
2454,3.26
2591,3.07
2605,3.07
2594,3.07
2585,3.09
2518,3.16
2605,3.06
2494,3.2
2557,3.12
2458,3.25
2460,3.24
2488,3.21
2628,3.03
2515,3.19
2487,3.21
2567,3.11
2458,3.24
2522,3.16
2451,3.26
2514,3.18
2421,3.3
2466,3.24
2516,3.17
2533,3.09
2555,3.18
2561,3.11
2480,3.2
2478,3.24
2558,3.12
2536,3.14
2437,3.21
2438,3.35
2389,3.34
2434,3.28
2528,3.09
2347,3.46
2501,3.19
2491,3.2
2508,3.17
2520,3.19
2521,3.16
2475,3.23
2518,3.16
2608,3.06
2583,3.09
2671,2.99
