Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,1671.225,102.701974517,2.70857375,0.148124712452,0.0,0.0,1671.225,0.0,1671.225,0.175,0.443661405847,0.14158325,0.0381894121709,2.527068375,0.117837832672
1,2,2020.7,73.970127395,2.281446625,0.0918972191415,0.0,0.0,2020.7,0.0,2020.7,0.15,0.505664120273,0.050008375,0.00993745904458,2.2108465,0.0877693788923
1,Total,3691.925,154.273042101,2.4950101875,0.108379462799,0.0,0.0,3691.925,0.0,3691.925,0.1625,0.335410196625,0.0957958125,0.0196965856683,2.3689574375,0.0952607617164
2,1,1699.1875,99.7372616466,2.670024875,0.144968410745,0.0,0.0,1699.1875,0.0,1699.1875,0.15,0.505664120273,0.138933375,0.0352077928997,2.49517125,0.118761198703
2,2,2044.75,62.0933352179,2.241582875,0.0793031981285,0.0,0.0,2044.75,0.0,2044.75,0.125,0.432098207309,0.045150625,0.00842819504736,2.177116375,0.0774264607607
2,Total,3743.9375,135.360310896,2.455803875,0.0967334818856,0.0,0.0,3743.9375,0.0,3743.9375,0.1375,0.317974204829,0.092042,0.0175830945239,2.3361438125,0.0873610431284
3,1,1687.8375,100.520599784,2.693955875,0.139220549441,0.0,0.0,1687.8375,0.0,1687.8375,0.2625,0.651070199797,0.13658625,0.0386087197266,2.519990375,0.106739360119
3,2,2013.9375,65.8814323836,2.281085375,0.0692921440365,0.0,0.0,2013.9375,0.0,2013.9375,0.1,0.376526429217,0.0467385,0.00967180544192,2.2108995,0.0628681080708
3,Total,3701.775,141.816959494,2.487520625,0.0895623999655,0.0,0.0,3701.775,0.0,3701.775,0.18125,0.357945526582,0.091662375,0.0207100310034,2.3654449375,0.0740556973573
Total,Total,3712.54583333,80.4688658988,2.47944489583,0.0538238035192,0.0,0.0,3712.54583333,0.0,3712.54583333,0.160416666667,0.182658424003,0.0931667291667,0.010483466024,2.35684872917,0.0468238578401
