Throughput,Latency
4354,0.91
4489,0.88
4654,0.85
4666,0.85
4721,0.84
4540,0.88
4450,0.89
4539,0.88
4424,0.9
4456,0.89
4483,0.88
4201,0.95
4388,0.9
4490,0.89
4411,0.9
4641,0.85
4790,0.83
4610,0.86
4838,0.82
4437,0.89
4557,0.87
5287,0.75
4489,0.88
4806,0.83
4677,0.85
4384,0.91
4339,0.92
4607,0.86
4431,0.9
4780,0.83
4440,0.89
4481,0.89
4287,0.93
4338,0.92
4637,0.86
4768,0.83
4731,0.84
4759,0.83
4624,0.86
4762,0.83
4686,0.85
4296,0.93
4525,0.88
4488,0.89
4700,0.84
4697,0.85
4559,0.87
4546,0.87
4514,0.88
4926,0.81
4619,0.86
4528,0.88
4551,0.87
4600,0.86
4572,0.87
4344,0.92
4654,0.85
4346,0.91
4537,0.88
4509,0.88
4372,0.91
4559,0.87
4898,0.81
4515,0.88
4696,0.84
4640,0.86
5000,0.79
4468,0.89
4741,0.84
4486,0.89
4151,0.95
4649,0.86
4283,0.93
4428,0.9
4230,0.94
4556,0.87
4289,0.93
4625,0.86
4482,0.89
4572,0.87
