Operation,Workers,Clients,Average Throughput (client),Std Throughput (client),Average Response Time (client),Std Response Time (client),Average Throughput (mw),Std Throughput (mw),Average Response Time (mw),Std Response Time (mw),Average Queue Time (mw),Std Queue Time (mw),Average Queue Length (mw),Std Queue Length (mw),Average Server Time (mw),Std Server Time (mw)
read,8,2,1336.075,39.86329411342246,2.9868958333333335,0.13136726626707937,1347.9375,44.07373350824331,1.9840682916666665,0.10441473746754237,0.015937041666666665,0.007817432422804041,0.020833333333333332,0.1698612938114093,1.9384132916666668,0.10172885005958253
read,8,4,2565.725,56.46607638597513,3.1123333333333334,0.10585753480840791,2586.4625,72.0114955519728,1.998805375,0.08986404621397126,0.024314625,0.013538148938677094,0.1,0.5158573316440105,1.9513284791666667,0.09016609294688582
read,8,8,4991.495833333333,125.81845850825984,3.2020625,0.11584362547708148,5037.583333333333,207.66861207396087,2.0109755625,0.09847768877850879,0.06927110416666667,0.020221987223175232,0.35,1.1214903413645874,1.9213643541666667,0.09503091141970872
read,8,14,7466.075,330.3845524694825,3.753,0.20001607451060147,7646.904166666666,249.26661295494566,2.541367333333333,0.17702181086255378,0.6143598958333334,0.06787174475974772,4.883333333333334,3.717387244005767,1.9031654583333335,0.11158061056317851
read,8,20,7594.1375,162.2967536482781,5.269416666666666,0.22707285333947336,7654.533333333334,169.8103019053728,3.9262161875,0.22681694124410132,1.8959621875000001,0.13887550434133733,14.591666666666667,5.207808481225756,2.008689208333333,0.09075818832488318
read,8,26,7638.733333333334,168.12802619986746,6.815270833333333,0.32843833938822886,7691.35,180.7162712964637,5.4380523125,0.31542002585919116,3.4007086041666668,0.21800956614186182,26.454166666666666,5.990751530914998,2.015647208333333,0.09842152505776135
read,8,32,7611.841666666666,177.07100889100738,8.418270833333333,0.3979657689029432,7674.175,193.08344338338958,6.977436020833333,0.3897523686649741,4.9269526458333335,0.2943182843682061,38.266666666666666,6.304986846559309,2.028253708333333,0.0968262058744861
read,16,2,1337.1916666666666,31.895434762938656,2.984125,0.11572078284588065,1348.3166666666666,32.81008706343495,1.9838445208333333,0.10258669740531584,0.015388729166666667,0.005186853488609442,0.004166666666666667,0.06454972243679027,1.9387649166666667,0.10201945243710708
read,16,4,2570.329166666667,58.0430152073909,3.1068541666666665,0.10611717822747514,2595.075,70.16974785934714,2.006807333333333,0.09246588791746203,0.023696354166666666,0.012136687382719795,0.05416666666666667,0.2914100285542357,1.9573497291666666,0.09216288993481786
read,16,8,4855.845833333334,205.1148805145733,3.2952916666666665,0.17163927293576456,4895.25,206.50607090876466,2.0219192083333337,0.09615458996313941,0.07393375,0.01759064346389591,0.3541666666666667,1.3458378941677795,1.9258028125,0.09531144690800548
read,16,14,8126.6125,330.57395859702933,3.4466875,0.17147422385526082,8288.883333333333,249.38554391113965,2.0503542083333333,0.1110318875251099,0.12075960416666667,0.021134027367887585,0.7458333333333333,1.9973788612084167,1.9082191666666666,0.10382341493648944
read,16,20,10702.404166666667,804.8319032264969,4.075104166666666,5.1052273335194105,10824.416666666666,690.0861456542863,2.3115489583333333,0.23609875313499235,0.23209937499999997,0.03649857661915634,2.533333333333333,3.040681858494015,2.053986375,0.21003161442561613
read,16,26,12221.004166666668,422.10122423088353,4.26875,0.3282726665937447,12317.370833333332,521.2735049167308,2.754147333333334,0.2633234919812505,0.5057109791666667,0.05792032705085549,6.220833333333333,5.413177719833269,2.2237727916666667,0.22376761066189715
read,16,32,12368.1625,151.30681321718933,5.1782916666666665,0.24990185617051133,12457.191666666668,151.1323948301127,3.5896377083333335,0.2153496799904322,1.1446664791666668,0.09388400049727995,14.45,10.64399176387581,2.4236701875000004,0.12615192256801197
read,32,2,1321.7375,37.10510134772717,3.02,0.13236250596519478,1334.4625,46.41272290310422,1.9748484375,0.10357963057875404,0.016088875,0.005255989722144649,0.03333333333333333,0.1798806360776621,1.926313125,0.1010255669836526
read,32,4,2542.7708333333335,62.040896076004,3.141541666666667,0.1256869156494965,2562.2208333333333,65.16375561098174,1.998024,0.1018250797977818,0.02449485416666667,0.012805016810260238,0.0625,0.36626864411968435,1.9469256874999998,0.09923145649325471
read,32,8,4927.0375,137.06048297639933,3.244291666666667,0.12498984649089571,4967.204166666666,148.36028458163477,2.017092708333333,0.09553218762052935,0.09145108333333334,0.01694136667681266,0.44583333333333336,1.286062775157475,1.9003581041666666,0.0936595571830334
read,32,14,8323.383333333333,241.87957110453272,3.3635,0.15370252971541676,8386.670833333334,256.1917675099815,2.032349291666667,0.11539505500741908,0.12306789583333333,0.02233984239411101,1.4,2.9639394795598855,1.887118875,0.11199131506917757
read,32,20,10753.675,373.83884748807657,3.7252916666666662,0.22059494032409294,10850.320833333333,411.75657133935783,2.199473145833333,0.14597719759983702,0.1418079375,0.022820858452239027,2.220833333333333,4.512787889185072,2.0337498333333333,0.14402016266134163
read,32,26,12292.870833333332,373.9907870110935,4.250145833333333,0.42292423153485287,12376.3,362.0559747750241,2.5003231041666667,0.21573274655428532,0.18023114583333336,0.027811431432210428,2.345833333333333,4.238840052776998,2.2954086041666666,0.2102412461849988
read,32,32,12308.679166666667,353.9683004495629,5.216854166666667,0.4469870131913519,12400.625,356.7693619343774,3.1253675416666664,0.23253416973278931,0.21646208333333336,0.09282630864610268,2.5708333333333333,5.432274477344697,2.8833009375,0.21441289391593818
read,64,2,1319.4,34.22431541594918,3.023770833333333,0.1167234906103499,1330.0875,31.777150451149314,1.9824332291666666,0.1003590538598207,0.016364708333333332,0.003531365027070825,0.020833333333333332,0.1431246250596515,1.9336519166666666,0.09795424113023457
read,64,4,2576.3541666666665,66.3934291196425,3.100625,0.12098424214582312,2595.6833333333334,68.19679661347963,1.9944732083333332,0.10039673721564521,0.031198458333333335,0.015375227659883604,0.09166666666666666,0.39865534098091315,1.9352580208333334,0.09848781941176232
read,64,8,4937.808333333333,128.27580744416804,3.2361041666666663,0.11290817663054697,4973.6625,126.88781429403689,2.0275078125,0.0903165631725713,0.10248116666666668,0.017944192770041407,0.6958333333333333,1.724540850097241,1.8969194166666667,0.08846935003307574
read,64,14,8373.595833333333,255.47145519159804,3.3423958333333332,0.14343929918419265,8425.8875,261.99639048984454,2.041470729166667,0.11028057694747541,0.1451981875,0.02390556139045359,1.325,2.694058238196602,1.869145875,0.10581750720445816
read,64,20,11526.091666666667,367.63575742774265,3.4689791666666667,0.14063381573697142,11611.454166666666,375.37821092572267,2.0740997083333332,0.08315380476369584,0.15465783333333333,0.024816449371084758,1.9708333333333334,3.6675643949837964,1.8957852291666668,0.08151911506019859
read,64,26,12353.770833333334,220.37904201238933,4.210875,0.22559516505649777,12441.216666666667,269.72808819636145,2.583163375,0.16774664375569362,0.1932689375,0.03192597401198653,2.5541666666666667,5.007649309197396,2.365568208333334,0.17036338444642385
read,64,32,12362.704166666666,194.81240838189362,5.175812500000001,0.19075108727462323,12452.808333333332,196.97831564421165,3.3705094791666665,0.15370493720172898,0.2146644375,0.05613215005528535,2.7666666666666666,5.567739313219694,3.1335738333333336,0.1620303192957375
write,8,2,1323.2958333333333,37.07202058965388,3.0187916666666665,0.12123838356997794,1334.0416666666667,36.595698088020015,2.0100076875000004,0.10350854015307288,0.0161938125,0.006150516233934638,0.0125,0.1113346194565722,1.9687369375,0.10215026649237742
write,8,4,2559.829166666667,60.32200885614408,3.1220416666666666,0.10278379081760153,2576.9625,61.31585905073587,2.0034970833333334,0.09003911010018902,0.024968958333333333,0.012275557590299056,0.0625,0.2897300720400826,1.9569989375,0.08954939973219764
write,8,8,4997.475,138.25420541092967,3.2016875,0.13252118533120144,5033.1375,137.12658633509523,2.0010162916666667,0.10540514494459736,0.07200727083333333,0.02507210101112988,0.49583333333333335,1.4142073985976231,1.911197375,0.10562842682059573
write,8,14,7604.9875,228.29639182632846,3.6839166666666667,0.16557382138209617,7660.941666666667,229.14329425634503,2.529527416666667,0.15814455052034904,0.6102969791666666,0.06635964686923197,4.875,3.5677835553615007,1.9005216041666666,0.09448951201440198
write,8,20,7575.145833333333,183.77380466115778,5.2848125,0.2288127801526154,7622.854166666667,181.60928560662725,3.9299537916666667,0.24105304324617974,1.8955261250000002,0.15217328936794913,15.075,5.330362230306318,2.0150017708333334,0.09020363449198285
write,8,26,7701.854166666667,176.67458083704912,6.760999999999999,0.32333246525792975,7758.820833333333,173.22430008968738,5.3613978125,0.32083768306991045,3.3420207708333334,0.22640158011583153,26.516666666666666,5.589864308250989,1.999809625,0.0976879380687194
write,8,32,7653.129166666667,215.4546714827455,8.381437499999999,0.4544686684644679,7707.620833333333,215.75482459039168,6.949542520833334,0.4459038721655291,4.909065124999999,0.33552674729988036,38.733333333333334,6.111561624913762,2.020376520833333,0.1099195604660407
write,16,2,1311.1791666666666,42.74627370450718,3.0473541666666666,0.13570922334910807,1321.2875,42.725706963897665,2.0056003125,0.10510308462857197,0.015569729166666666,0.0051114618561087215,0.025,0.15645123025306878,1.9666720416666665,0.10191406761926391
write,16,4,2555.7208333333333,75.80315555838088,3.1287500000000006,0.1269676039097719,2575.7541666666666,72.80071082902008,1.978264458333333,0.09893409471668266,0.021479833333333333,0.011277548556026798,0.09166666666666666,0.39865534098091315,1.9358857083333334,0.09778988040979461
write,16,8,5041.054166666667,132.95763782261474,3.1727708333333333,0.12082885973049547,5076.725,130.50772833365735,1.9891547916666668,0.10063146361692801,0.07584306249999999,0.01873475170636689,0.2875,0.9082663148794905,1.8938762291666664,0.0994262557754523
write,16,14,8409.120833333332,233.63426247409242,3.3313125000000006,0.1476275367733903,8465.029166666667,229.41237281944916,2.0230992916666666,0.10953355332826752,0.11746383333333332,0.0249211229312782,1.0333333333333334,2.6573757254412813,1.8880110833333332,0.1136373493344106
write,16,20,10923.033333333333,522.1769195262402,3.6771875,0.2803290011824795,10999.3,533.9968752357136,2.2933668124999995,0.20085901140209306,0.22086579166666667,0.02853922922575048,2.191666666666667,2.912376801376131,2.050964770833333,0.18070718792394375
write,16,26,12946.279166666667,525.1877540175645,4.045375,0.4053878590731657,13048.395833333334,501.2473954515888,2.593663333333333,0.2691584327568942,0.45616091666666664,0.05885457756015477,5.979166666666667,5.045772012510228,2.115705541666667,0.21612155379300377
write,16,32,14832.820833333333,447.6670221761622,4.322875,0.24327460063730472,14934.775,463.65711003971086,2.8495379375,0.18642873123802314,0.8219908333333333,0.0746357251272799,12.9875,9.385505271695335,2.0098784583333336,0.11648374089467006
write,32,2,1343.8083333333334,37.85952803878287,2.9756041666666664,0.15058150881432583,1353.3041666666666,37.46031628769009,1.98130275,0.12168914423812462,0.015918041666666667,0.005990099932452336,0.0125,0.1113346194565722,1.9401095833333335,0.11803089465094128
