Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,2334.1,135.450453364,1.839998125,0.10019011158,2334.1,0.0,0.0,0.0,2334.1,0.225,0.449331430213,0.1024275,0.0250690639704,1.702272375,0.0786167101966
1,2,2693.575,80.2752819122,1.593584125,0.0531620006742,2693.575,0.0,0.0,0.0,2693.575,0.075,0.265053135346,0.02823425,0.0066590311332,1.540561,0.0506087388661
1,Total,5027.675,175.728269449,1.716791125,0.0640403433267,5027.675,0.0,0.0,0.0,5027.675,0.15,0.256559515142,0.065330875,0.0134738410829,1.6214166875,0.0538021952222
2,1,2339.7875,113.90232255,1.83266975,0.0765846395343,2339.7875,0.0,0.0,0.0,2339.7875,0.1875,0.479814046259,0.0989935,0.0227395694881,1.696391625,0.0564432417599
2,2,2725.575,66.2679209103,1.5708205,0.0373786599207,2725.575,0.0,0.0,0.0,2725.575,0.125,0.401736736014,0.033036625,0.00592884131608,1.513456,0.033465139262
2,Total,5065.3625,133.910724441,1.701745125,0.0433222723434,5065.3625,0.0,0.0,0.0,5065.3625,0.15625,0.324073655482,0.0660150625,0.0115533017773,1.6049238125,0.0341504532213
3,1,2365.475,120.066012961,1.821805375,0.0800384636165,2365.475,0.0,0.0,0.0,2365.475,0.3125,0.62831399874,0.10036725,0.0235631173914,1.689159,0.0611031181661
3,2,2727.4,74.1608924885,1.57400875,0.0415329654147,2727.4,0.0,0.0,0.0,2727.4,0.0875,0.325838742442,0.032974625,0.00567954824014,1.516298625,0.0396499359025
3,Total,5092.875,154.401611374,1.6979070625,0.0496975153385,5092.875,0.0,0.0,0.0,5092.875,0.2,0.343105696524,0.0666709375,0.0127581957053,1.6027288125,0.0407863596369
Total,Total,5061.97083333,87.7865041217,1.70548110417,0.029619134974,5061.97083333,0.0,0.0,0.0,5061.97083333,0.16875,0.176888543897,0.066005625,0.00692268141394,1.60968977083,0.0244743190325
