Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,634.95,34.1422563825,3.138625,0.177355708869
1,1,2,749.5,26.5968495327,2.651125,0.0965479319538
1,1,Total,1384.45,44.6479619505,2.894875,0.103743155943
1,2,1,669.4625,41.4643185786,2.9835,0.193992692019
1,2,2,804.0125,28.1858631187,2.4745,0.0889730438484
1,2,Total,1473.475,56.3883404323,2.729,0.117808039527
1,3,1,595.025,35.9454491759,3.354,0.221116842931
1,3,2,696.6375,24.2216786204,2.85625,0.100962143551
1,3,Total,1291.6625,48.3305977329,3.105125,0.134394975701
1,Total,Total,4149.5875,132.110396274,2.90966666667,0.105673248474
2,1,1,634.4875,36.3882001148,3.140875,0.198131740791
2,1,2,674.6375,28.3277578902,2.94975,0.126790717625
2,1,Total,1309.125,47.308942875,3.0453125,0.121832900064
2,2,1,666.325,44.8905208341,2.99975,0.227295463765
2,2,2,715.5625,30.6060487734,2.78475,0.121196304827
2,2,Total,1381.8875,57.4909995708,2.89225,0.134557173393
2,3,1,597.8875,32.3446604088,3.335375,0.197663207681
2,3,2,627.2125,27.7039931089,3.1755,0.144851735635
2,3,Total,1225.1,43.6912643703,3.2554375,0.125607873226
2,Total,Total,3916.1125,137.360838094,3.06433333333,0.119056475861
3,1,1,637.9125,34.1156609607,3.123375,0.178247046241
3,1,2,723.4375,34.7256311969,2.750375,0.136497264312
3,1,Total,1361.35,47.0198180679,2.936875,0.107477919428
3,2,1,672.9375,48.8423824438,2.972625,0.240841056626
3,2,2,773.1875,36.2243689395,2.576,0.123160901243
3,2,Total,1446.125,64.9165725559,2.7743125,0.141876536963
3,3,1,600.3,30.8045697744,3.32025,0.182506979232
3,3,2,673.9,30.0643192363,2.955125,0.133112627196
3,3,Total,1274.2,43.3684246101,3.1376875,0.112691310612
3,Total,Total,4081.675,124.76314522,2.949625,0.0988808596355
Total,Total,Total,4049.125,77.2024641066,2.97454166667,0.0641456514195
