Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,4855.6,241.597824619,37.975847375,1.87907832497,4855.6,0.0,0.0,0.0,4855.6,179.725,2.57040114093,36.35823375,1.79760840709,1.583858875,0.0809771593518
1,Total,4855.6,241.597824619,37.975847375,1.87907832497,4855.6,0.0,0.0,0.0,4855.6,179.725,2.57040114093,36.35823375,1.79760840709,1.583858875,0.0809771593518
2,1,4848.45,329.15326352,38.15757725,2.80926642162,4848.45,0.0,0.0,0.0,4848.45,179.3625,2.46105745513,36.532897,2.68780566792,1.590649875,0.12057973755
2,Total,4848.45,329.15326352,38.15757725,2.80926642162,4848.45,0.0,0.0,0.0,4848.45,179.3625,2.46105745513,36.532897,2.68780566792,1.590649875,0.12057973755
3,1,4890.9875,314.312570934,37.836252,2.59075350334,4890.9875,0.0,0.0,0.0,4890.9875,179.275,2.16400355647,36.224456,2.48054162635,1.57836725,0.110631429851
3,Total,4890.9875,314.312570934,37.836252,2.59075350334,4890.9875,0.0,0.0,0.0,4890.9875,179.275,2.16400355647,36.224456,2.48054162635,1.57836725,0.110631429851
Total,Total,4865.0125,161.797293295,37.9898922083,1.30975877172,4865.0125,0.0,0.0,0.0,4865.0125,179.454166667,1.45947965796,36.37186225,1.25304371539,1.584292,0.0563866325707
