Threads: 8, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
  2351      0      0       0   2351   2351 388548.59 336537.63  51922.07     51
  3136      0      0       0   3136   3136  18039.64 15520.12   2485.69     46
  3025      0      0       0   3025   3025  18545.18 15954.05   2542.68     45
  3058      0      0       0   3058   3058  18338.04 15777.04   2539.52     52
  3147      0      0       0   3147   3147  17811.62 15321.74   2464.59     52
  2924      0      0       0   2924   2924  19167.98 16487.21   2624.23     44
  3224      0      0       0   3224   3224  17405.04 14979.29   2404.94     52
  3005      0      0       0   3005   3005  18740.94 16131.49   2583.87     51
  3175      0      0       0   3175   3175  17646.49 15177.26   2443.48     52
  3240      0      0       0   3240   3240  17260.76 14840.99   2399.37     51
  3226      0      0       0   3226   3226  17468.59 15037.41   2411.90     44
  3261      0      0       0   3261   3261  17163.71 14762.02   2381.98     52
  3178      0      0       0   3178   3178  17531.88 15066.09   2447.82     49
  3231      0      0       0   3231   3231  17465.00 15029.31   2413.09     52
  3060      0      0       0   3060   3060  18259.29 15697.97   2534.84     47
  3086      0      0       0   3086   3086  18181.94 15640.58   2515.99     45
  3240      0      0       0   3240   3240  17352.98 14937.86   2392.89     52
  3250      0      0       0   3250   3250  17324.09 14910.53   2396.29     52
  3202      0      0       0   3202   3202  17598.50 15149.47   2429.43     43
  3327      0      0       0   3327   3327  16830.42 14475.80   2337.08     52
  3374      0      0       0   3374   3374  16628.13 14301.23   2307.71     51
  3414      0      0       0   3414   3414  16475.30 14177.28   2278.01     52
  3332      0      0       0   3332   3332  16738.31 14384.64   2334.54     50
  3187      0      0       0   3187   3187  17689.23 15227.91   2441.96     45
  3295      0      0       0   3295   3295  16963.74 14587.51   2356.76     51
  3165      0      0       0   3165   3165  17866.61 15378.11   2462.97     44
  3242      0      0       0   3242   3242  17351.28 14935.38   2398.24     52
  3201      0      0       0   3201   3201  17620.98 15169.48   2432.99     47
  3276      0      0       0   3276   3276  17136.61 14746.36   2370.43     48
  3179      0      0       0   3179   3179  17669.82 15205.75   2445.79     52
  3317      0      0       0   3317   3317  16997.39 14630.41   2346.68     44
  3314      0      0       0   3314   3314  16960.98 14598.88   2344.31     52
  3211      0      0       0   3211   3211  17581.16 15138.26   2426.42     44
  3255      0      0       0   3255   3255  17223.26 14819.55   2385.34     52
  3316      0      0       0   3316   3316  16998.10 14630.46   2348.66     45
  3256      0      0       0   3256   3256  17224.12 14818.96   2384.54     52
  3313      0      0       0   3313   3313  17008.38 14641.73   2347.79     52
  3279      0      0       0   3279   3279  17171.71 14783.40   2368.88     52
  3216      0      0       0   3216   3216  17485.03 15043.23   2420.11     44
  3227      0      0       0   3227   3227  17332.08 14905.86   2409.14     47
  3281      0      0       0   3281   3281  17159.42 14769.48   2370.62     49
  3371      0      0       0   3371   3371  16716.46 14389.99   2308.52     44
  3389      0      0       0   3389   3389  16790.66 14445.15   2324.58     44
  3387      0      0       0   3387   3387  16706.65 14385.53   2304.32     52
  3410      0      0       0   3410   3410  16533.89 14227.78   2286.66     52
  3407      0      0       0   3407   3407  16593.08 14282.93   2291.33     52
  3385      0      0       0   3385   3385  16654.36 14332.66   2301.65     52
  3338      0      0       0   3338   3338  16946.12 14585.84   2342.24     52
  3281      0      0       0   3281   3281  17167.95 14769.12   2382.15     52
  3314      0      0       0   3314   3314  17111.67 14735.69   2357.96     47
  3265      0      0       0   3265   3265  17252.30 14844.67   2389.48     52
  3322      0      0       0   3322   3322  16955.21 14586.56   2350.04     52
  3148      0      0       0   3148   3148  17931.88 15436.53   2476.84     52
  3410      0      0       0   3410   3410  16379.80 14066.46   2293.55     44
  3354      0      0       0   3354   3354  16785.06 14441.23   2324.76     52
  3391      0      0       0   3391   3391  16674.77 14351.46   2305.16     45
  3302      0      0       0   3302   3302  17092.05 14710.10   2362.33     48
  3309      0      0       0   3309   3309  17040.41 14663.04   2358.79     52
  3326      0      0       0   3326   3326  16971.98 14603.70   2349.46     45
  3317      0      0       0   3317   3317  16994.18 14625.82   2347.28     52
  3320      0      0       0   3320   3320  17034.43 14661.97   2353.08     52
  3303      0      0       0   3303   3303  17108.21 14724.88   2363.43     46
  3290      0      0       0   3290   3290  17169.70 14777.27   2373.72     46
  3339      0      0       0   3339   3339  16846.87 14490.90   2337.93     52
  3336      0      0       0   3336   3336  16892.97 14534.33   2341.88     46
  3324      0      0       0   3324   3324  16948.59 14582.09   2348.76     52
  3465      0      0       0   3465   3465  16185.38 13920.38   2248.28     52
  3416      0      0       0   3416   3416  16549.13 14241.84   2289.03     51
  3276      0      0       0   3276   3276  17158.84 14759.13   2380.16     52
  3333      0      0       0   3333   3333  16969.11 14603.29   2348.74     45
  3204      0      0       0   3204   3204  17643.45 15188.21   2436.05     52
  2976      0      0       0   2976   2976  19032.79 16388.59   2624.45     45
  3278      0      0       0   3278   3278  17317.92 14915.00   2385.31     45
  3199      0      0       0   3199   3199  17354.14 14937.89   2394.69     52
  3157      0      0       0   3157   3157  16298.36 13772.43   2505.88      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
