Threads: 8, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 26001      0      0       0  26001  26001  17213.92 14797.21   2392.38     52
  3217      0      0       0   3217   3217  17556.56 15110.74   2423.07     50
  3331      0      0       0   3331   3331  16939.16 14586.99   2332.60     49
  3221      0      0       0   3221   3221  17457.44 15023.70   2412.54     44
  3281      0      0       0   3281   3281  17054.25 14668.51   2368.36     51
  3215      0      0       0   3215   3215  17497.84 15059.38   2420.56     46
  3332      0      0       0   3332   3332  16838.76 14485.22   2335.64     48
  3278      0      0       0   3278   3278  17084.14 14692.88   2368.56     49
  3340      0      0       0   3340   3340  16876.30 14527.86   2326.57     44
  3289      0      0       0   3289   3289  17083.85 14701.57   2361.95     44
  3184      0      0       0   3184   3184  17612.98 15153.45   2436.20     49
  3067      0      0       0   3067   3067  18194.95 15637.35   2528.99     52
  3318      0      0       0   3318   3318  16904.19 14544.41   2337.64     52
  2860      0      0       0   2860   2860  19752.98 17009.48   2718.38     44
  3285      0      0       0   3285   3285  17114.68 14728.43   2362.02     51
  3180      0      0       0   3180   3180  17330.94 14880.36   2423.70     44
  3201      0      0       0   3201   3201  17657.04 15197.02   2440.05     52
  3364      0      0       0   3364   3364  16770.84 14430.11   2312.84     50
  3381      0      0       0   3381   3381  16648.70 14322.00   2304.78     52
  3396      0      0       0   3396   3396  16576.77 14257.16   2297.80     44
  3441      0      0       0   3441   3441  16340.37 14056.95   2256.77     52
  3367      0      0       0   3367   3367  16745.37 14407.04   2315.18     46
  3240      0      0       0   3240   3240  17420.66 14989.62   2411.09     47
  3267      0      0       0   3267   3267  17286.04 14878.91   2382.96     52
  3296      0      0       0   3296   3296  17041.10 14655.16   2366.99     52
  3294      0      0       0   3294   3294  17119.25 14730.15   2358.64     52
  3339      0      0       0   3339   3339  16924.14 14567.35   2333.61     52
  3209      0      0       0   3209   3209  17609.94 15154.33   2428.12     46
  3231      0      0       0   3231   3231  17437.93 15001.07   2415.99     45
  3301      0      0       0   3301   3301  17017.29 14643.18   2354.81     44
  3325      0      0       0   3325   3325  16938.98 14572.61   2347.18     48
  3339      0      0       0   3339   3339  16865.09 14508.33   2334.72     44
  3315      0      0       0   3315   3315  16954.42 14582.96   2350.31     51
  3372      0      0       0   3372   3372  16736.70 14402.25   2312.35     48
  3271      0      0       0   3271   3271  17323.70 14917.09   2387.13     52
  3317      0      0       0   3317   3317  16983.91 14613.78   2347.63     52
  3292      0      0       0   3292   3292  17162.35 14769.81   2371.27     48
  3291      0      0       0   3291   3291  17016.71 14628.23   2369.16     52
  3401      0      0       0   3401   3401  16425.17 14110.34   2295.37     52
  3405      0      0       0   3405   3405  16431.55 14118.72   2292.41     48
  3356      0      0       0   3356   3356  16736.85 14403.83   2310.82     51
  3425      0      0       0   3425   3425  16569.67 14260.02   2287.44     44
  3375      0      0       0   3375   3375  16705.09 14373.40   2310.28     45
  3166      0      0       0   3166   3166  17741.45 15259.15   2450.39     47
  3298      0      0       0   3298   3298  17046.70 14661.25   2366.06     52
  3220      0      0       0   3220   3220  17552.04 15105.71   2417.28     50
  3309      0      0       0   3309   3309  16980.12 14603.09   2356.36     52
  3239      0      0       0   3239   3239  17415.78 14986.02   2368.70     52
  3216      0      0       0   3216   3216  17572.41 15124.41   2414.97     51
  3323      0      0       0   3323   3323  16988.45 14619.17   2330.64     44
  3266      0      0       0   3266   3266  17158.89 14751.48   2378.71     52
  3336      0      0       0   3336   3336  16621.62 14270.12   2331.02     44
  3193      0      0       0   3193   3193  17839.66 15376.84   2436.85     49
  3313      0      0       0   3313   3313  17017.64 14642.52   2355.48     52
  3354      0      0       0   3354   3354  16813.82 14467.67   2324.71     52
  3204      0      0       0   3204   3204  17566.18 15112.08   2437.27     52
  3286      0      0       0   3286   3286  17240.18 14840.29   2381.50     44
  3151      0      0       0   3151   3151  17908.00 15413.28   2476.79     52
  3257      0      0       0   3257   3257  17372.79 14957.35   2398.83     52
  3318      0      0       0   3318   3318  16998.58 14625.92   2356.26     52
  3370      0      0       0   3370   3370  16729.70 14397.83   2314.78     52
  3465      0      0       0   3465   3465  16262.76 13993.33   2252.65     50
  3428      0      0       0   3428   3428  16437.88 14138.97   2278.14     44
  3333      0      0       0   3333   3333  16913.90 14556.07   2339.33     52
  3459      0      0       0   3459   3459  16290.62 14012.91   2258.18     44
  1413      0      0       0   1413   1413  16183.62 13921.34   2239.59     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
     0      0      0       0      0      0       NaN      NaN       NaN     52
   875      0      0       0    875    875 916615.48 794295.26 122301.54     52
  3129      0      0       0   3129   3129  17918.91 15405.12   2494.06     50
  3262      0      0       0   3262   3262  17325.86 14913.02   2394.98     52
  3235      0      0       0   3235   3235  17489.38 15054.67   2407.95     45
  1278      0      0       0   1278   1278  16754.03 14260.81   2473.02      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
