Throughput,Latency
12737,5.05
13242,4.82
13290,4.83
12833,4.98
13660,4.66
13104,4.91
13024,4.9
13227,4.84
12746,5.0
12763,5.0
13524,4.75
13214,4.82
13521,4.76
13405,4.77
13290,4.8
13382,4.79
13044,4.9
13315,4.79
13743,4.68
12842,4.98
13506,4.73
13976,4.59
13635,4.69
12994,4.91
13156,4.86
13024,4.93
13718,4.67
13283,4.82
13376,4.76
13591,4.73
12982,4.9
13504,4.76
12766,5.01
13083,4.89
13311,4.8
12997,4.9
12674,5.07
13363,4.8
13150,4.84
13678,4.67
13140,4.89
12664,5.03
13100,4.9
13024,4.9
13010,4.91
12968,4.95
13130,4.86
13722,4.68
13052,4.89
12539,5.09
14149,4.53
12908,4.95
12979,4.91
13019,4.94
13648,4.66
13134,4.89
13353,4.79
13083,4.88
12463,5.12
13083,4.9
12956,4.95
13149,4.87
12955,4.92
13312,4.8
13323,4.83
12846,4.97
13181,4.83
12825,5.01
12635,5.06
13246,4.82
13772,4.64
13141,4.9
12954,4.92
13399,4.76
13722,4.69
12622,5.07
12422,5.15
13236,4.81
13377,4.79
12718,5.02
