Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1612.875,63.5389594429,34.756,1.39310017632
1,1,2,1891.0875,88.5432303411,29.665375,1.45421251363
1,1,Total,3503.9625,113.675804151,32.2106875,1.05092386834
1,2,1,1624.4875,66.0070946992,34.513,1.44414522921
1,2,2,1910.2875,91.3492662771,29.369125,1.49438374221
1,2,Total,3534.775,117.323524895,31.9410625,1.08371422203
1,3,1,1597.9375,58.272894398,35.072875,1.31966738593
1,3,2,1860.925,85.6060708542,30.143125,1.4506686313
1,3,Total,3458.8625,107.394781448,32.608,1.02851176741
1,Total,Total,10497.6,323.690999707,32.25325,1.00193883424
2,1,1,1605.2125,61.8574706662,34.921,1.37259488155
2,1,2,1913.2875,86.6056380996,29.321,1.47869220357
2,1,Total,3518.5,111.379383589,32.121,1.05245956656
2,2,1,1615.5875,62.3499096565,34.697875,1.35978655599
2,2,2,1935.8625,71.6253868702,28.947875,1.21861583001
2,2,Total,3551.45,103.750540642,31.822875,0.960867479568
2,3,1,1590.8,77.6929040632,35.27125,1.83327774177
2,3,2,1886.8125,72.8118945892,29.713625,1.26086693478
2,3,Total,3477.6125,110.885217623,32.4924375,1.15096986999
2,Total,Total,10547.5625,292.13070786,32.1454375,0.948225403888
3,1,1,1590.025,97.6886004518,35.351375,2.52959832892
3,1,2,1925.0875,71.3715884596,29.112875,1.08069737652
3,1,Total,3515.1125,126.533729305,32.232125,1.42749931278
3,2,1,1601.35,95.1659576407,35.0905,2.33016319307
3,2,2,1947.3,74.4734087282,28.788875,1.1123119881
3,2,Total,3548.65,129.427766864,31.9396875,1.36489818412
3,3,1,1577.275,92.6014975137,35.62025,2.36221681713
3,3,2,1901.725,71.3323430469,29.47525,1.12837732153
3,3,Total,3479.0,125.782713992,32.54775,1.37880013422
3,Total,Total,10542.7625,357.599813233,32.2398541667,1.29937356956
Total,Total,Total,10529.3083333,215.007786305,32.2128472222,0.710136409923
