Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1653.375,97.1559329967,19.40925,1.23498452304
1,1,2,1829.7375,89.6626227462,17.5155,0.925067086175
1,1,Total,3483.1125,145.07030105,18.462375,0.84291161113
1,2,1,1669.1,108.830677916,19.2515,1.4753005272
1,2,2,1848.5625,99.8648255697,17.351375,1.03616960606
1,2,Total,3517.6625,176.223674306,18.3014375,1.07217163801
1,3,1,1634.7,89.0672338849,19.616375,1.11509577695
1,3,2,1808.5375,97.9958593481,17.736125,1.0839151886
1,3,Total,3443.2375,147.030543951,18.67625,0.865047192684
1,Total,Total,10444.0125,438.683458837,18.4800208333,0.867074980647
2,1,1,1693.4375,86.3913444665,18.934,1.07451089845
2,1,2,1860.1125,95.356226689,17.234,0.927466400497
2,1,Total,3553.55,128.491432015,18.084,0.708371460875
2,2,1,1706.05,80.4520298931,18.785875,0.937369999425
2,2,2,1875.325,89.0984059867,17.090625,0.87211708619
2,2,Total,3581.375,118.478901075,17.93825,0.629091217149
2,3,1,1674.7875,81.7163500598,19.136375,0.990376790272
2,3,2,1842.275,91.335377953,17.398875,0.920664308523
2,3,Total,3517.0625,127.136261372,18.267625,0.691185449752
2,Total,Total,10651.9875,346.252176112,18.096625,0.633683168704
3,1,1,1694.9625,94.9098764718,18.92675,1.20221922957
3,1,2,1890.3,62.4806602989,16.930125,0.559585049135
3,1,Total,3585.2625,128.411299608,17.9284375,0.7340759255
3,2,1,1706.6875,86.2854540963,18.7855,0.99799406406
3,2,2,1909.1375,59.4678391436,16.764625,0.524172509409
3,2,Total,3615.825,121.303550096,17.7750625,0.648186122351
3,3,1,1679.95,76.6573668915,19.075375,0.900927712789
3,3,2,1871.075,58.9004255212,17.103625,0.548655995956
3,3,Total,3551.025,111.447208937,18.0895,0.610143477627
3,Total,Total,10752.1125,334.221369593,17.931,0.613788906203
Total,Total,Total,10616.0375,206.736397612,18.1692152778,0.400091631692
