Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,4998.975,305.907819945,18.0512405,1.26383080646,4998.975,0.0,0.0,0.0,4998.975,82.975,2.73271321565,16.472380875,1.15294041591,1.545399875,0.111011906164
1,2,5524.725,303.808524601,16.40448725,1.01795754261,5524.725,0.0,0.0,0.0,5524.725,84.225,2.45452307879,14.979257875,0.931576160062,1.403119625,0.0852948724689
1,Total,10523.7,514.780213639,17.227863875,0.982712755359,10523.7,0.0,0.0,0.0,10523.7,83.6,1.94122498191,15.725819375,0.898313878005,1.47425975,0.0844239087405
2,1,5119.975,252.419280242,17.6240095,0.926372248111,5119.975,0.0,0.0,0.0,5119.975,83.475,2.55062662939,16.0846785,0.84440449054,1.504503375,0.0815293960334
2,2,5616.5,268.462099251,16.12531025,0.834760507939,5616.5,0.0,0.0,0.0,5616.5,83.4125,3.49934442323,14.724393375,0.763178070385,1.378663375,0.0705066289539
2,Total,10736.475,366.9660066,16.874659875,0.625796651809,10736.475,0.0,0.0,0.0,10736.475,83.44375,2.18451650069,15.4045359375,0.571608906275,1.441583375,0.0535943813403
3,1,5111.775,262.575943204,17.60438325,0.95177411415,5111.775,0.0,0.0,0.0,5111.775,83.35,3.37563871125,16.06676725,0.866603578083,1.50334025,0.0848859472197
3,2,5708.9625,181.315268039,15.8430455,0.517505376813,5708.9625,0.0,0.0,0.0,5708.9625,84.2625,2.27113839742,14.466763375,0.472925139078,1.35539675,0.0441342501625
3,Total,10820.7375,373.885338944,16.723714375,0.630365478329,10820.7375,0.0,0.0,0.0,10820.7375,83.80625,2.27046773467,15.2667653125,0.574893048482,1.4293685,0.0554730825043
Total,Total,10693.6375,223.497478527,16.942079375,0.412893199655,10693.6375,0.0,0.0,0.0,10693.6375,83.6166666667,1.34629773114,15.465706875,0.376883742514,1.448403875,0.0359422929752
