Throughput,Latency
10425,3.07
10389,3.09
11717,2.72
9936,3.22
11317,2.81
10673,3.01
11413,2.79
12150,2.63
10592,3.02
10873,2.95
10259,3.1
10058,3.17
10004,3.18
9896,3.24
9727,3.27
10056,3.18
10050,3.17
9943,3.2
11047,2.9
11890,2.69
11808,2.69
11166,2.87
10228,3.13
10271,3.11
10566,2.87
9198,3.62
9364,3.42
9847,3.24
9764,3.27
11927,2.69
9396,3.38
11106,2.88
10210,3.12
11398,2.81
9612,3.32
10018,3.2
11101,2.86
10307,3.11
11658,2.74
11463,2.8
11060,2.89
11728,2.73
11660,2.74
10049,3.17
9978,3.2
11567,2.76
9930,3.2
9677,3.3
11500,2.78
8297,3.83
9622,3.31
9976,3.17
9456,3.38
10016,3.19
9862,3.24
9512,3.35
9947,3.19
9768,3.28
10086,3.15
9958,3.22
7681,3.7
11722,3.01
12105,2.62
11761,2.73
12047,2.65
11722,2.72
10714,2.98
10533,3.02
10107,3.16
9991,3.2
9970,3.2
10083,3.16
9805,3.25
10131,3.14
9976,3.2
10110,3.16
10414,3.08
11604,2.74
11015,2.91
9914,3.21
