Throughput,Latency
4461,1.78
4547,1.77
4508,1.77
4633,1.71
4399,1.82
4436,1.81
4498,1.78
4208,1.89
4243,1.87
4431,1.82
4418,1.8
4258,1.86
4486,1.79
4367,1.83
4356,1.83
4098,1.94
4397,1.83
4410,1.81
4341,1.84
4456,1.78
4482,1.79
4400,1.81
4542,1.75
4308,1.84
4499,1.79
4407,1.81
4207,1.89
4267,1.86
4402,1.83
4374,1.81
4408,1.83
4295,1.86
4366,1.82
4366,1.82
4246,1.89
4384,1.82
4433,1.79
4326,1.84
4158,1.93
4099,1.94
4003,1.99
4144,1.94
4308,1.85
4303,1.85
4289,1.86
4288,1.86
4172,1.91
4331,1.83
4405,1.83
4532,1.76
4560,1.75
4561,1.75
4478,1.78
4331,1.86
4314,1.84
4354,1.85
4360,1.83
4370,1.82
4579,1.75
4468,1.78
4388,1.83
4521,1.77
4423,1.8
4410,1.8
4558,1.75
4533,1.77
4131,1.93
4194,1.9
4409,1.8
4678,1.72
4479,1.78
4342,1.83
4515,1.78
4344,1.84
4437,1.79
4393,1.83
4619,1.73
4591,1.73
4589,1.73
4573,1.75
